         3899838 function calls (3855501 primitive calls) in 31.884 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method '_is_owned' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       34    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
      528    0.007    0.000    0.011    0.000 {built-in method io.open}
      945    0.041    0.000    0.041    0.000 {built-in method io.open_code}
      195    0.000    0.000    0.001    0.000 {method 'tell' of '_io._IOBase' objects}
       39    0.000    0.000    0.000    0.000 {function DecompressReader.close at 0x7fd98854f5e0}
        3    0.004    0.001    0.004    0.001 {method 'readlines' of '_io._IOBase' objects}
       39    0.015    0.000    0.015    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
       84    0.000    0.000    0.000    0.000 {method 'read' of '_io.BytesIO' objects}
       14    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
       81    0.000    0.000    0.001    0.000 {method 'close' of '_io.BufferedReader' objects}
19587/12444    0.204    0.000    0.514    0.000 {method 'read' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
  437/398    0.001    0.000    0.372    0.001 {method 'seek' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
      104    0.012    0.000    0.012    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 {method 'isatty' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'in_dll' of '_ctypes.UnionType' objects}
