# Jupiter zonal wind from Cassini
# Credit: Porco et al., Science 299, 1541-1547 (2003)
# Planetocentric latitudes, u (m/s), uncertainty (m/s)
-58	 16.9	 2.8
-57.9	 18.2	 3.2
-57.8	 19.0	 3.3
-57.7	 19.9	 3.4
-57.6	 21.2	 3.4
-57.5	 22.0	 3.1
-57.4	 21.9	 3.2
-57.3	 20.9	 3.9
-57.2	 18.4	 6.1
-57.1	 16.2	 6.6
-57	 15.5	 5.2
-56.9	 12.3	 5.5
-56.8	 11.0	 4.9
-56.7	 8.9	 4.7
-56.6	 7.1	 3.6
-56.5	 5.1	 2.3
-56.4	 3.9	 2.1
-56.3	 3.9	 2.0
-56.2	 3.6	 1.7
-56.1	 3.0	 1.7
-56	 2.9	 1.6
-55.9	 2.0	 1.5
-55.8	 1.6	 1.4
-55.7	 1.3	 1.6
-55.6	 0.9	 1.4
-55.5	 0.4	 1.6
-55.4	 -0.4	 1.7
-55.3	 -0.8	 1.5
-55.2	 -0.9	 1.3
-55.1	 -1.8	 1.7
-55	 -1.8	 1.7
-54.9	 -2.9	 1.2
-54.8	 -3.0	 1.2
-54.7	 -3.2	 1.4
-54.6	 -3.5	 1.7
-54.5	 -3.9	 1.8
-54.4	 -4.1	 1.6
-54.3	 -4.5	 1.7
-54.2	 -4.5	 1.7
-54.1	 -4.4	 1.8
-54	 -4.7	 1.9
-53.9	 -5.0	 1.9
-53.8	 -4.9	 2.1
-53.7	 -5.3	 2.1
-53.6	 -5.2	 2.2
-53.5	 -5.5	 2.4
-53.4	 -5.8	 2.2
-53.3	 -5.7	 2.6
-53.2	 -5.9	 2.8
-53.1	 -5.8	 2.6
-53	 -5.7	 2.6
-52.9	 -5.7	 2.5
-52.8	 -5.9	 2.3
-52.7	 -5.8	 2.2
-52.6	 -5.9	 2.2
-52.5	 -5.6	 2.3
-52.4	 -5.9	 2.2
-52.3	 -5.7	 2.3
-52.2	 -5.4	 2.0
-52.1	 -5.4	 2.1
-52	 -5.7	 2.6
-51.9	 -5.7	 3.3
-51.8	 -6.2	 6.7
-51.7	 -7.3	 8.5
-51.6	 -8.3	 8.6
-51.5	 -9.0	 9.2
-51.4	 -6.2	 7.5
-51.3	 -5.0	 7.3
-51.2	 -4.2	 7.1
-51.1	 -2.3	 6.0
-51	 -1.0	 4.3
-50.9	 1.1	 3.7
-50.8	 1.4	 3.4
-50.7	 3.2	 3.0
-50.6	 6.2	 6.8
-50.5	 7.2	 6.9
-50.4	 7.7	 5.6
-50.3	 8.6	 5.5
-50.2	 11.0	 4.3
-50.1	 13.1	 6.7
-50	 16.2	 9.1
-49.9	 19.3	 9.8
-49.8	 19.4	 8.5
-49.7	 19.9	 7.3
-49.6	 20.9	 8.0
-49.5	 20.6	 11.8
-49.4	 23.7	 11.4
-49.3	 31.0	 15.6
-49.2	 31.7	 13.2
-49.1	 34.2	 8.7
-49	 36.8	 10.9
-48.9	 35.5	 9.1
-48.8	 35.7	 12.0
-48.7	 37.9	 8.8
-48.6	 35.3	 15.6
-48.5	 36.1	 10.6
-48.4	 37.3	 8.1
-48.3	 36.7	 7.7
-48.2	 32.7	 10.7
-48.1	 31.1	 10.2
-48	 28.8	 9.6
-47.9	 26.6	 10.2
-47.8	 24.7	 9.0
-47.7	 22.4	 8.9
-47.6	 19.8	 8.4
-47.5	 17.5	 7.0
-47.4	 15.5	 5.4
-47.3	 13.2	 5.2
-47.2	 11.6	 4.4
-47.1	 10.4	 3.6
-47	 9.1	 3.1
-46.9	 8.1	 2.7
-46.8	 6.7	 2.1
-46.7	 5.5	 1.8
-46.6	 4.4	 2.4
-46.5	 3.7	 2.1
-46.4	 3.1	 2.1
-46.3	 2.4	 2.2
-46.2	 0.6	 2.1
-46.1	 -0.8	 2.1
-46	 -2.1	 1.7
-45.9	 -2.7	 1.0
-45.8	 -2.9	 1.3
-45.7	 -3.0	 1.0
-45.6	 -3.7	 1.7
-45.5	 -3.9	 1.8
-45.4	 -4.6	 2.2
-45.3	 -5.8	 2.2
-45.2	 -6.7	 2.4
-45.1	 -7.5	 2.1
-45	 -8.3	 2.0
-44.9	 -9.4	 2.0
-44.8	 -9.9	 2.1
-44.7	 -11.0	 1.8
-44.6	 -11.7	 1.9
-44.5	 -12.1	 2.0
-44.4	 -12.7	 2.3
-44.3	 -12.6	 2.8
-44.2	 -13.1	 3.1
-44.1	 -13.0	 3.7
-44	 -12.8	 3.7
-43.9	 -12.6	 4.0
-43.8	 -13.2	 6.1
-43.7	 -13.8	 6.6
-43.6	 -12.6	 6.0
-43.5	 -12.5	 5.7
-43.4	 -12.6	 6.0
-43.3	 -11.9	 5.7
-43.2	 -11.0	 6.0
-43.1	 -9.0	 5.3
-43	 -8.2	 5.4
-42.9	 -7.3	 4.8
-42.8	 -5.2	 3.8
-42.7	 -4.5	 3.8
-42.6	 -3.9	 4.2
-42.5	 0.0	 5.4
-42.4	 1.9	 6.0
-42.3	 3.8	 6.7
-42.2	 4.7	 6.7
-42.1	 9.2	 9.8
-42	 10.4	 9.7
-41.9	 10.6	 9.7
-41.8	 13.3	 9.5
-41.7	 16.6	 11.6
-41.6	 18.3	 11.3
-41.5	 18.1	 10.8
-41.4	 17.4	 9.1
-41.3	 17.2	 6.4
-41.2	 18.1	 5.2
-41.1	 19.2	 4.6
-41	 20.0	 4.7
-40.9	 20.7	 3.6
-40.8	 21.9	 2.6
-40.7	 23.3	 2.4
-40.6	 24.0	 1.7
-40.5	 25.0	 2.0
-40.4	 26.0	 2.0
-40.3	 27.7	 2.0
-40.2	 28.9	 2.0
-40.1	 31.2	 2.2
-40	 32.8	 2.5
-39.9	 35.1	 2.0
-39.8	 36.9	 1.9
-39.7	 39.3	 1.7
-39.6	 40.7	 2.1
-39.5	 41.7	 1.3
-39.4	 42.5	 1.8
-39.3	 42.6	 2.0
-39.2	 42.5	 2.0
-39.1	 41.5	 2.5
-39	 39.5	 3.1
-38.9	 37.7	 3.0
-38.8	 35.7	 2.9
-38.7	 33.8	 2.7
-38.6	 31.8	 3.0
-38.5	 29.8	 2.6
-38.4	 27.7	 1.8
-38.3	 25.8	 1.8
-38.2	 23.8	 2.9
-38.1	 20.9	 4.1
-38	 19.0	 4.4
-37.9	 18.0	 4.3
-37.8	 16.6	 3.9
-37.7	 15.3	 3.6
-37.6	 14.1	 3.4
-37.5	 13.1	 3.1
-37.4	 12.5	 2.8
-37.3	 10.6	 2.5
-37.2	 10.0	 2.2
-37.1	 8.6	 2.5
-37	 7.3	 2.6
-36.9	 5.2	 2.3
-36.8	 4.4	 2.4
-36.7	 3.9	 2.1
-36.6	 3.1	 1.9
-36.5	 2.6	 1.7
-36.4	 2.0	 2.8
-36.3	 -0.7	 4.8
-36.2	 -2.7	 5.3
-36.1	 -5.3	 7.6
-36	 -6.5	 9.2
-35.9	 -7.4	 9.0
-35.8	 -8.0	 9.6
-35.7	 -8.0	 9.9
-35.6	 -8.3	 9.4
-35.5	 -8.4	 8.4
-35.4	 -7.9	 6.9
-35.3	 -6.2	 6.1
-35.2	 -6.1	 5.9
-35.1	 -5.2	 5.2
-35	 -3.9	 5.1
-34.9	 -2.6	 4.5
-34.8	 -1.4	 4.2
-34.7	 0.2	 4.2
-34.6	 2.5	 3.0
-34.5	 3.3	 2.6
-34.4	 4.7	 2.8
-34.3	 6.4	 3.3
-34.2	 8.7	 4.4
